silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673390998.994099
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673395883.0149076
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673455789.9961815
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673552991.0122428
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673566177.709106
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673566304.515236
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673566548.6983268
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673629228.6217005
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673679014.7185223
silver rune emblem (animate dead),-1,-1,-1,-1,-1,-1,0,0,0,1673720227.1358275
