part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673390998.8829517
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673395009.5260522
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673454914.3940866
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673552117.7363563
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673566177.4525676
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673566304.4039307
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673566548.5914085
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673628358.410687
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673678163.7322037
part of a rune (five),-1,-1,-1,-1,-1,-1,0,0,0,1673719380.4163353
